point,seed,steps,loss
3,4,10,0.050848514
4,4,10,3.0116215
5,4,10,0.8576758
6,4,10,0.11511527
7,4,10,3.3124762
8,4,10,0.12560438
9,4,10,5.8319225
10,4,10,0.9371225
11,4,10,2.581456
12,4,10,0.27745098
13,4,10,0.9043811
14,4,10,0.08612203
15,4,10,2.1262922
16,4,10,4.97692
17,4,10,3.2681081
18,4,10,3.81024
19,4,10,0.024073832
20,4,10,0.16251771
21,4,10,5.9737606
22,4,10,1.7827934
23,4,10,0.028546274
24,4,10,2.966078
25,4,10,5.2818317
26,4,10,0.4258227
27,4,10,2.240172
28,4,10,0.96939665
29,4,10,3.5285606
30,4,10,2.0468626
31,4,10,5.680256
0,4,50,0.58225334
1,4,50,0.97228783
2,4,50,1.3196052
3,4,50,0.07744112
4,4,50,3.134833
5,4,50,1.2083495
6,4,50,0.13602255
7,4,50,4.482338
8,4,50,0.12574641
9,4,50,5.866353
10,4,50,1.0612652
11,4,50,2.7126043
12,4,50,0.77031827
13,4,50,1.172716
14,4,50,0.10936241
15,4,50,2.7411091
16,4,50,5.160682
17,4,50,3.372599
18,4,50,4.0121183
19,4,50,0.023802675
20,4,50,0.18775013
21,4,50,6.30952
22,4,50,2.3876214
23,4,50,0.027349176
